CountryName,DiseaseName,Yr,Cases
United States of America,Congenital Rubella Syndrome,2018,0
United States of America,Congenital Rubella Syndrome,2017,5
United States of America,Congenital Rubella Syndrome,2016,2
India,Congenital Rubella Syndrome,2017,76
India,Congenital Rubella Syndrome,2016,25
Australia,Buruli ulcer,2018,358
Australia,Buruli ulcer,2019,297
Australia,Buruli ulcer,2017,292
