CountryName,Yr,MortalityRate
United States of America,2015,0.00844
United States of America,2016,0.008493
United States of America,2017,0.008638
United States of America,2018,0.0086
United States of America,2019,
United States of America,2020,
India,1998,0.009003
India,1999,0.008841
India,2000,0.008692
Australia,2015,0.0066
Australia,2016,0.0066
Australia,2017,0.0065
Australia,2018,0.0063
Australia,2019,0.005
